date,product_id,product_name,category,quantity_sold,selling_price,stock_available,day_of_week,month,season,holiday,supplier_lead_days
2024-01-01,P001,Rice,Grocery,39,61.05,220,Monday,1,Winter,1,5
2024-01-01,P002,Wheat,Grocery,22,43.44,125,Monday,1,Winter,1,5
2024-01-01,P003,Sugar,Grocery,31,48.62,165,Monday,1,Winter,1,4
2024-01-01,P004,Cooking Oil,Grocery,18,123.62,107,Monday,1,Winter,1,6
2024-01-01,P005,Milk,Dairy,47,41.18,227,Monday,1,Winter,1,2
2024-01-01,P006,Bread,Bakery,44,33.67,158,Monday,1,Winter,1,2
2024-01-01,P007,Eggs,Dairy,69,7.19,314,Monday,1,Winter,1,2
2024-01-01,P008,Biscuits,Snacks,30,29.07,36,Monday,1,Winter,1,4
2024-01-01,P009,Soap,Personal Care,11,34.64,73,Monday,1,Winter,1,7
2024-01-01,P010,Shampoo,Personal Care,8,119.46,43,Monday,1,Winter,1,7
2024-01-02,P001,Rice,Grocery,26,59.62,87,Tuesday,1,Winter,0,5
2024-01-02,P002,Wheat,Grocery,17,45.51,35,Tuesday,1,Winter,0,5
2024-01-02,P003,Sugar,Grocery,25,49.06,93,Tuesday,1,Winter,0,4
2024-01-02,P004,Cooking Oil,Grocery,13,120.36,21,Tuesday,1,Winter,0,6
2024-01-02,P005,Milk,Dairy,38,41.63,74,Tuesday,1,Winter,0,2
2024-01-02,P006,Bread,Bakery,28,36.19,130,Tuesday,1,Winter,0,2
2024-01-02,P007,Eggs,Dairy,41,6.83,61,Tuesday,1,Winter,0,2
2024-01-02,P008,Biscuits,Snacks,26,30.88,29,Tuesday,1,Winter,0,4
2024-01-02,P009,Soap,Personal Care,10,36.07,43,Tuesday,1,Winter,0,7
2024-01-02,P010,Shampoo,Personal Care,6,114.65,20,Tuesday,1,Winter,0,7
2024-01-03,P001,Rice,Grocery,26,59.4,138,Wednesday,1,Winter,0,5
2024-01-03,P002,Wheat,Grocery,17,43.71,65,Wednesday,1,Winter,0,5
2024-01-03,P003,Sugar,Grocery,26,50.31,145,Wednesday,1,Winter,0,4
2024-01-03,P004,Cooking Oil,Grocery,10,120.22,43,Wednesday,1,Winter,0,6
2024-01-03,P005,Milk,Dairy,36,39.6,56,Wednesday,1,Winter,0,2
2024-01-03,P006,Bread,Bakery,21,33.38,31,Wednesday,1,Winter,0,2
2024-01-03,P007,Eggs,Dairy,46,6.71,122,Wednesday,1,Winter,0,2
2024-01-03,P008,Biscuits,Snacks,21,28.83,49,Wednesday,1,Winter,0,4
2024-01-03,P009,Soap,Personal Care,9,35.44,88,Wednesday,1,Winter,0,7
2024-01-03,P010,Shampoo,Personal Care,6,121.84,52,Wednesday,1,Winter,0,7
2024-01-04,P001,Rice,Grocery,22,58.27,51,Thursday,1,Winter,0,5
2024-01-04,P002,Wheat,Grocery,13,43.97,95,Thursday,1,Winter,0,5
2024-01-04,P003,Sugar,Grocery,25,51.5,123,Thursday,1,Winter,0,4
2024-01-04,P004,Cooking Oil,Grocery,14,119.09,27,Thursday,1,Winter,0,6
2024-01-04,P005,Milk,Dairy,38,40.45,85,Thursday,1,Winter,0,2
2024-01-04,P006,Bread,Bakery,32,34.49,65,Thursday,1,Winter,0,2
2024-01-04,P007,Eggs,Dairy,42,6.9,90,Thursday,1,Winter,0,2
2024-01-04,P008,Biscuits,Snacks,24,30.36,29,Thursday,1,Winter,0,4
2024-01-04,P009,Soap,Personal Care,8,33.83,36,Thursday,1,Winter,0,7
2024-01-04,P010,Shampoo,Personal Care,6,120.2,92,Thursday,1,Winter,0,7
2024-01-05,P001,Rice,Grocery,25,57.13,36,Friday,1,Winter,0,5
2024-01-05,P002,Wheat,Grocery,18,46.92,84,Friday,1,Winter,0,5
2024-01-05,P003,Sugar,Grocery,17,51.94,63,Friday,1,Winter,0,4
2024-01-05,P004,Cooking Oil,Grocery,12,118.85,59,Friday,1,Winter,0,6
2024-01-05,P005,Milk,Dairy,33,38.75,188,Friday,1,Winter,0,2
2024-01-05,P006,Bread,Bakery,47,36.12,169,Friday,1,Winter,0,2
2024-01-05,P007,Eggs,Dairy,42,7.15,49,Friday,1,Winter,0,2
2024-01-05,P008,Biscuits,Snacks,20,28.69,82,Friday,1,Winter,0,4
2024-01-05,P009,Soap,Personal Care,12,36.01,74,Friday,1,Winter,0,7
2024-01-05,P010,Shampoo,Personal Care,6,117.82,80,Friday,1,Winter,0,7
2024-01-06,P001,Rice,Grocery,25,57.77,57,Saturday,1,Winter,0,5
2024-01-06,P002,Wheat,Grocery,23,42.78,48,Saturday,1,Winter,0,5
2024-01-06,P003,Sugar,Grocery,22,50.2,89,Saturday,1,Winter,0,4
2024-01-06,P004,Cooking Oil,Grocery,16,114.21,50,Saturday,1,Winter,0,6
2024-01-06,P005,Milk,Dairy,37,40.14,137,Saturday,1,Winter,0,2
2024-01-06,P006,Bread,Bakery,35,35.24,135,Saturday,1,Winter,0,2
2024-01-06,P007,Eggs,Dairy,59,7.1,193,Saturday,1,Winter,0,2
2024-01-06,P008,Biscuits,Snacks,26,30.1,133,Saturday,1,Winter,0,4
2024-01-06,P009,Soap,Personal Care,9,33.37,66,Saturday,1,Winter,0,7
2024-01-06,P010,Shampoo,Personal Care,9,116.84,31,Saturday,1,Winter,0,7
2024-01-07,P001,Rice,Grocery,21,57.66,77,Sunday,1,Winter,0,5
2024-01-07,P002,Wheat,Grocery,24,44.56,72,Sunday,1,Winter,0,5
2024-01-07,P003,Sugar,Grocery,26,51.8,63,Sunday,1,Winter,0,4
2024-01-07,P004,Cooking Oil,Grocery,15,119.87,74,Sunday,1,Winter,0,6
2024-01-07,P005,Milk,Dairy,39,41.03,231,Sunday,1,Winter,0,2
2024-01-07,P006,Bread,Bakery,36,36.1,73,Sunday,1,Winter,0,2
2024-01-07,P007,Eggs,Dairy,59,7.25,244,Sunday,1,Winter,0,2
2024-01-07,P008,Biscuits,Snacks,24,29.82,75,Sunday,1,Winter,0,4
2024-01-07,P009,Soap,Personal Care,10,36.09,27,Sunday,1,Winter,0,7
2024-01-07,P010,Shampoo,Personal Care,9,118.09,90,Sunday,1,Winter,0,7
2024-01-08,P001,Rice,Grocery,23,62.28,38,Monday,1,Winter,0,5
2024-01-08,P002,Wheat,Grocery,13,43.27,53,Monday,1,Winter,0,5
2024-01-08,P003,Sugar,Grocery,17,47.77,56,Monday,1,Winter,0,4
2024-01-08,P004,Cooking Oil,Grocery,12,116.06,30,Monday,1,Winter,0,6
2024-01-08,P005,Milk,Dairy,32,38.4,90,Monday,1,Winter,0,2
2024-01-08,P006,Bread,Bakery,40,35.32,161,Monday,1,Winter,0,2
2024-01-08,P007,Eggs,Dairy,50,7.33,84,Monday,1,Winter,0,2
2024-01-08,P008,Biscuits,Snacks,21,30.63,123,Monday,1,Winter,0,4
2024-01-08,P009,Soap,Personal Care,10,36.21,86,Monday,1,Winter,0,7
2024-01-08,P010,Shampoo,Personal Care,6,114.49,67,Monday,1,Winter,0,7
2024-01-09,P001,Rice,Grocery,23,58.1,53,Tuesday,1,Winter,0,5
2024-01-09,P002,Wheat,Grocery,16,45.01,29,Tuesday,1,Winter,0,5
2024-01-09,P003,Sugar,Grocery,22,47.51,27,Tuesday,1,Winter,0,4
2024-01-09,P004,Cooking Oil,Grocery,15,115.66,55,Tuesday,1,Winter,0,6
2024-01-09,P005,Milk,Dairy,26,41.89,133,Tuesday,1,Winter,0,2
2024-01-09,P006,Bread,Bakery,30,33.74,86,Tuesday,1,Winter,0,2
2024-01-09,P007,Eggs,Dairy,49,7.32,170,Tuesday,1,Winter,0,2
2024-01-09,P008,Biscuits,Snacks,20,30.74,68,Tuesday,1,Winter,0,4
2024-01-09,P009,Soap,Personal Care,11,34.1,51,Tuesday,1,Winter,0,7
2024-01-09,P010,Shampoo,Personal Care,6,125.86,22,Tuesday,1,Winter,0,7
2024-01-10,P001,Rice,Grocery,21,61.61,98,Wednesday,1,Winter,0,5
2024-01-10,P002,Wheat,Grocery,16,44.68,22,Wednesday,1,Winter,0,5
2024-01-10,P003,Sugar,Grocery,20,49.4,21,Wednesday,1,Winter,0,4
2024-01-10,P004,Cooking Oil,Grocery,10,124.88,34,Wednesday,1,Winter,0,6
2024-01-10,P005,Milk,Dairy,36,38.22,169,Wednesday,1,Winter,0,2
2024-01-10,P006,Bread,Bakery,26,35.61,78,Wednesday,1,Winter,0,2
2024-01-10,P007,Eggs,Dairy,51,6.88,219,Wednesday,1,Winter,0,2
2024-01-10,P008,Biscuits,Snacks,19,31.35,63,Wednesday,1,Winter,0,4
2024-01-10,P009,Soap,Personal Care,8,36.29,85,Wednesday,1,Winter,0,7
2024-01-10,P010,Shampoo,Personal Care,7,115.37,59,Wednesday,1,Winter,0,7
2024-01-11,P001,Rice,Grocery,22,58.46,85,Thursday,1,Winter,0,5
2024-01-11,P002,Wheat,Grocery,18,46.7,29,Thursday,1,Winter,0,5
2024-01-11,P003,Sugar,Grocery,23,47.83,30,Thursday,1,Winter,0,4
2024-01-11,P004,Cooking Oil,Grocery,12,117.92,20,Thursday,1,Winter,0,6
2024-01-11,P005,Milk,Dairy,37,38.23,88,Thursday,1,Winter,0,2
2024-01-11,P006,Bread,Bakery,29,33.61,84,Thursday,1,Winter,0,2
2024-01-11,P007,Eggs,Dairy,43,7.18,210,Thursday,1,Winter,0,2
2024-01-11,P008,Biscuits,Snacks,21,29.99,58,Thursday,1,Winter,0,4
